name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Spiked Club	club		spc	clb	spc	0		3	1	0	xxx			5	8							1		200				54		4	1	0	225	5400			spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1		1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	mac	mst	1	0	
Mace	mace		mac	mac	mac	0		4	1	0	xxx			3	10									200		27		90		8	1	0	463	10204			mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3		1		1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	2	0	mst	mau	1	0	
Morning Star	mace		mst	mac	mst	0		4	1	0	xxx			7	16							1	10	200		36		108		13	1	0	844	19972			mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	fla	1	0	
Flail	mace		fla	fla	fla	0		4	1	0	xxx			1	24							2	-10	170	50	41	35	45		19	1	0	1412	38828			fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	xxx	gma	1	0	
War Hammer	hamm		whm	whm	whm	0		4	1	0	xxx			19	29								20	220		53		83		25	1	0	2081	67025			whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	mau	gma	1	0	
Maul	hamm		mau	mau	mau	0		4	1	0	xxx						1	30	43			1	10	220		69		90		21	1	0	1670	48070			mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	xxx	mau	1	0	
Great Maul	hamm		gma	mau	gma	0		3	1	0	xxx						1	38	58			2	20	220		99		90		32	1	0	3215	121380			gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255	2	2	0	xxx	xxx	1	0	
Short Sword	swor		ssd	ssd	ssd	0		3	1	0	xxx			2	7									140	60			36		1	1	0	72	3072			ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	scm	wsd	1	0	
Scimitar	swor		scm	scm	scm	0		3	1	0	xxx			2	6								-20	140	60		21	33		5	1	0	274	6370			scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	sbr	lsd	1	0	
Saber	swor		sbr	scm	sbr	0		3	1	0	xxx			3	8								-10	140	60	25	25	48		8	1	0	466	10228			sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	1	2	0	flc	bsd	1	0	
Falchion	swor		flc	flc	flc	0		4	1	0	xxx			11	17								20	140	60	33		48		11	1	0	683	15513			flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	bsd	wsd	1	0	
Crystal Sword	swor		crs	crs	crs	0		2	1	0	xxx			5	15							1		140	60	43		30		11	1	0	2127	31397			crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255	1	8	0	xxx	xxx	1	0	
Broad Sword	swor		bsd	bsd	bsd	0		4	1	0	xxx			7	14									140	60	48		48		15	1	0	1029	25435			bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	lsd	wsd	1	0	
Long Sword 	swor		lsd	lsd	lsd	0		4	1	0	xxx			3	19							2	-10	140	60	55	39	66		20	1	0	1520	42900			lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255	1	2	0	wsd	wsd	1	0	
War Sword	swor		wsd	flc	wsd	0		4	1	0	xxx			8	20							1		140	60	71	45	66		27	1	0	1997	69919			wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20	1	2	0	xxx	xxx	1	0	
Two-Handed Sword	swor		2hs	clm	2hs	0		4	1	0	xxx			2	9	1	1	8	17			2		140	60	35	27	66		10	1	0	644	13940			2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	clm	gis	1	0	
Claymore	swor		clm	clm	clm	0		4	1	0	xxx			5	12	1	1	13	30			2	10	140	60	47		75		17	1	0	1262	32454			clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	gis	bsw	1	0	
Giant Sword	swor		gis	gsd	gis	0		4	1	0	xxx			3	16	1	1	9	28			2		140	60	56	34	75		21	1	0	1459	43639			gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	1	2	0	bsw	flb	1	0	
Bastard Sword	swor		bsw	clm	bsw	0		4	1	0	xxx			7	19	1	1	20	28			1	10	140	60	62		60		24	1	0	1971	61804			bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255	1	2	0	xxx	xxx	1	0	
Flamberge	swor		flb	clm	flb	0		4	1	0	xxx			9	15	1	1	13	26			2	-10	140	60	70	49	75		27	1	0	2400	80800			flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0	
Great Sword	swor		gsd	gsd	gsd	0		4	1	0	xxx			12	20	1	1	25	42			2	10	140	60	100	60	75		33	1	0	3451	132883			gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0	
Dagger	knif		dgr	dgr	dgr	0		2	1	0	xxx			1	5								-20	75	125			24		3	1	0	60	4180			dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	kri	bld	1	0	
Dirk	knif		dir	dir	dir	0		2	1	0	xxx			4	9									75	125		25	30		9	1	0	532	11788			dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	kri	bld	1	0	
Kriss	knif		kri	dir	kri	0		2	1	0	xxx			3	13								-20	75	125		45	36		17	1	0	1227	31859			kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255			1	2	20			1	1	20					255					255			1	1	20	1	2	0	xxx	xxx	1	0	
Blade	knif		bld	dgr	bld	0		3	1	0	xxx			4	20								-10	75	125	35	51	36		23	1	0	1764	54572			bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255			1	2	20	1	1	1	1	20					255					255	1	1	1	1	20	1	2	0	xxx	xxx	1	0	
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1	0	xxx			2	3					4	9			75	125		21	6		2	1	0	6	3512			tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	60	240	120	flptkn	invtkn					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			255	1	2			20					255					255					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	1	2	0	bkf	bkf	1	0	
Throwing Axe	taxe		tax	hax	tax	0		2	1	0	xxx			4	7					8	12	1	10	100	100		40	9		7	1	0	11	6077			tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	24	200	48	flptax	invtax					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			255	1	2			20					255	1	1			20					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	2	2	0	bal	bal	1	0	
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1	0	xxx			1	8					6	11		-20	75	125		51	12		13	1	0	15	9195			bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	45	240	90	flpbkf	invbkf					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20	1	2	0	xxx	xxx	1	0	
Balanced Axe	taxe		bal	hax	bal	0		2	1	0	xxx			5	10					12	15	1	-10	100	100		57	15		16	1	0	35	11060			bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	24	200	36	flpbal	invbal					0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20	2	2	0	xxx	xxx	1	0	
Javelin	jave		jav	jav	jav	0		4	1	0	xxx			1	5					6	14	2	-10	100	100			3		1	1	0	5	3005			jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	45	90	90	flpjav	invjav					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			255	1	2			20					255					255					255					255					20					255					255	1	2			1	1	1			255					255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	glv	glv	1	0	
Pilum	jave		pil	pil	pil	0		4	1	0	xxx			4	9					7	20	2		100	100		45	5		10	1	0	18	7680			pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	75	75	flppil	invpil					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255	1	1			20					255	1	1			20					255					255					20					255					255	1	2			1	1	1			255	1	1			255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	tsp	tsp	1	0	
Short Spear	jave		ssp	jav	ssp	0		4	1	0	xxx			2	13					10	22	2	10	100	100	40	40	6		15	1	0	24	10360			ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	60	60	flpssp	invssp					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					255			1	2	30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	tsp	tsp	1	0	
Glaive	jave		glv	glv	glv	0		4	1	0	xxx			5	17					16	22	2	20	100	100	52	35	8		23	1	0	36	14828			glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	24	60	60	flpglv	invglv					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	1	2	0	xxx	xxx	1	0	
